รหัสเขตพื้นที่การศึกษา,ชื่อเขตพื้นที่การศึกษา,รหัสโรงเรียน (smis),percode รหัส 6 หลัก,รหัสกระทรวง (10 หลัก),ชื่อโรงเรียน,ลำดับ,แปลงที่,ตารางวา,งาน,ไร่,กรรมสิทธิ์การถือครอง
60030000,สพป.นครสวรรค์ เขต 3,60030001,220528,1060220528,บ้านทุ่งทอง,1,ตั้งอาคารเรียน,28.0,2,23,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030002,220529,1060220529,บ้านไทรงาม,1,นายทูล  พิพิชกุล,0.0,3,12,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030003,220530,1060220530,ประชาอุปถัมภ์,1,โรงเรียน,80.0,0,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030004,220531,1060220531,บ้านหนองกะเปา,1,1,15.0,2,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030005,220532,1060220532,สหชาติเศรษฐกิจวิทยา,1,นว1080,32.0,2,16,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030006,220527,1060220527,บ้านปากดง,1,1,0.0,0,20,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030007,220569,1060220569,บ้านหนองดู่,1,1,0.0,0,13,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030008,220570,1060220570,บ้านรังงาม,1,1,0.0,0,11,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030010,220545,1060220545,วัดหนองปลาไหล,1,1,40.0,1,8,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030011,220546,1060220546,ธารทหาร(แสงสว่างอุปถัมภ์),1,1,20.0,1,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030012,220547,1060220547,น้ำสาดกลาง,1,-,59.0,3,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030013,220548,1060220548,บ้านหนองจิก,1,3,0.0,3,23,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030014,220549,1060220549,วัดป่าเรไร,1,1,0.0,2,4,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030015,220550,1060220550,น้ำสาดเหนือ,1,1,0.0,1,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030016,220551,1060220551,ห้วยวารีใต้,1,1,65.0,3,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030016,220551,1060220551,ห้วยวารีใต้,2,2,80.0,1,5,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030017,220543,1060220543,บ้านเขานางต่วม,1,1(ที่ราชพัสดุ เลขที่ นว.641),40.0,3,18,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030018,220535,1060220535,อุดมพัฒนา,1,1,0.0,0,16,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030019,220536,1060220536,บ้านโคกสะอาด,1,1,65.0,2,15,ป่าสงวน
60030000,สพป.นครสวรรค์ เขต 3,60030020,220537,1060220537,บ้านโคกสะอาดสาขามั่นวิทยา,1,1,0.0,0,12,ป่าสงวน
60030000,สพป.นครสวรรค์ เขต 3,60030021,220538,1060220538,วัดเวฬุวัน,1,8871,77.0,2,11,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030022,220539,1060220539,บ้านวังบ่อ(ราษฎร์เจริญ),1,1,0.0,0,14,ที่สาธารณะประโยชน์
60030000,สพป.นครสวรรค์ เขต 3,60030023,220540,1060220540,บ้านวังใหญ่(ราษฎร์บำรุง),1,1,40.0,0,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030024,220541,1060220541,วัดห้วยธารทหาร,1,1,0.0,1,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030025,220542,1060220542,บ้านทับลุ่มประชาพัฒนา,1,1,43.0,1,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030026,220524,1060220524,อนุบาลหนองบัว(เทพวิทยาคม),1,1,92.0,0,16,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030027,220525,1060220525,วัดเทพสุทธาวาส,1,1,80.0,1,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030028,220564,1060220564,บ้านท่าเรือ,1,1,47.0,3,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030029,220565,1060220565,บ้านหนองโบสถ์,1,1,31.0,0,16,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030030,220566,1060220566,บ้านวังมะเดื่อ,1,1,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030031,220567,1060220567,วัดวังแรต,1,1,0.0,3,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030031,220567,1060220567,วัดวังแรต,2,2,0.0,1,0,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030032,220568,1060220568,บ้านเขามะเกลือ,1,1,0.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030032,220568,1060220568,บ้านเขามะเกลือ,2,1,0.0,0,1,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030032,220568,1060220568,บ้านเขามะเกลือ,3,1,0.0,1,0,ที่ทรัพย์สินส่วนพระมหากษัตริย์
60030000,สพป.นครสวรรค์ เขต 3,60030033,220521,1060220521,บ้านคลองลาน,1,1,242.0,0,40,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030034,220522,1060220522,บ้านหนองไผ่,1,1,0.0,0,60,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030036,220533,1060220533,บ้านคลองกำลัง,1,1,31.0,2,14,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030038,220558,1060220558,วันครู(2504),1,0,40.0,0,12,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030039,220557,1060220557,บ้านห้วยถั่วใต้,1,1,0.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030040,220563,1060220563,บ้านเทพสถาพร,1,1,30.0,1,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030041,220552,1060220552,ชุมชนบ้านกระดานหน้าแกล,1,1,62.0,2,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030042,220559,1060220559,ชุมชนวัดห้วยร่วม,1,1,0.0,0,8,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030042,220559,1060220559,ชุมชนวัดห้วยร่วม,2,2,50.0,1,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030042,220559,1060220559,ชุมชนวัดห้วยร่วม,3,3,31.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030045,220561,1060220561,เกาะแก้วสามัคคี,1,-,80.0,0,5,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030047,220553,1060220553,สระงาม,1,1,60.0,1,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030048,220554,1060220554,บ้านวังโพรง,1,โฉนดที่ดินเลขที่ 11217,63.0,0,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030048,220554,1060220554,บ้านวังโพรง,2,โฉนดที่ดินเลขที่  648,0.0,1,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030048,220554,1060220554,บ้านวังโพรง,3,โฉนดที่ดินเลขที่  528,60.0,0,0,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030049,220236,1060220236,วัดจันเสน,1,7433,12.0,3,29,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030050,220237,1060220237,บ้านดงมัน,1,-,0.0,2,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030051,220238,1060220238,วัดหนองตะโก,1,0,64.0,2,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030052,220264,1060220264,บ้านหนองกระทุ่ม,1,1,78.0,1,1,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030052,220264,1060220264,บ้านหนองกระทุ่ม,2,2,4.0,0,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030052,220264,1060220264,บ้านหนองกระทุ่ม,3,3,74.0,0,1,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030053,220248,1060220248,วัดเขาวง,1,1,50.0,2,5,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030054,220250,1060220250,วัดเขาฝา,1,1,0.0,0,14,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030055,220252,1060220252,วัดบ่อนิมิต,1,1,0.0,2,4,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030056,220263,1060220263,บ้านโคกสว่าง,1,1,90.0,3,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030057,220230,1060220230,วัดถ้ำผาสุขใจ,1,1,42.0,2,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030057,220230,1060220230,วัดถ้ำผาสุขใจ,2,2,2.0,0,1,-
60030000,สพป.นครสวรรค์ เขต 3,60030058,220246,1060220246,บ้านโพนทอง,1,1,0.0,2,6,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030060,220222,1060220222,บ้านหนองขาม,1,1,67.0,3,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030061,220229,1060220229,บ้านโพธิ์งาม(สนานทองคำประชาสรรค์),1,1,0.0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030062,220243,1060220243,วัดตาคลี(นิปุณทองคำประชาสรรค์),1,1,0.0,0,15,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030063,220244,1060220244,วัดหนองจิกรี(เจริญสุขประชานุเคราะห์),1,นว 299,8.0,2,2,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030064,220245,1060220245,บ้านป่าคลัก(สำนักงานสลากกินแบ่งสงเคราะห์ 540),1,1,69.0,3,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030065,220220,1060220220,วัดสว่างวงษ์(ตาคลีประชานุกูล),1,1,45.0,2,12,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030067,220223,1060220223,ชุมชนบ้านเขาใบไม้,1,1,20.0,2,13,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030067,220223,1060220223,ชุมชนบ้านเขาใบไม้,2,2,38.0,3,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030068,220224,1060220224,บ้านชอนเดื่อ(สำนักงานสลากกินแบ่งสงเคราะห์ 111),1,1,7.0,0,17,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030069,220225,1060220225,บ้านสระแก้ว,1,1,80.0,3,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030069,220225,1060220225,บ้านสระแก้ว,2,2,0.0,0,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030070,220226,1060220226,บ้านโคกกระดี่,1,นว.572,0.0,3,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030071,220227,1060220227,วัดเขาเจดีย์,1,1,70.0,0,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030072,220228,1060220228,บ้านหัวเขาตาคลี,1,1,54.0,0,8,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030073,220216,1060220216,อนุบาลตาคลี(ทหารอากาศบำรุง),1,1,0.0,0,37,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030074,220217,1060220217,วัดหนองสีนวล,1,1,0.0,0,4,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030074,220217,1060220217,วัดหนองสีนวล,2,2,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030075,220218,1060220218,บ้านวังคาง,1,1,0.0,0,5,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030075,220218,1060220218,บ้านวังคาง,2,2,55.0,2,9,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030077,220247,1060220247,วัดช่องแค,1,1,0.0,0,11,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030078,220249,1060220249,วัดหนองหญ้ารังกา,1,1,23.0,1,4,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030079,220256,1060220256,คลองแปดประชาสรรค์,1,0,0.0,0,6,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030080,220251,1060220251,บ้านกกกว้าว,1,1,17.3,0,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030080,220251,1060220251,บ้านกกกว้าว,2,2,36.0,1,2,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030080,220251,1060220251,บ้านกกกว้าว,3,3,0.0,0,2,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030081,220239,1060220239,บ้านเขาขวาง,1,1,0.0,0,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030083,220231,1060220231,วัดลาดทิพยรส,1,1,33.0,2,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030083,220231,1060220231,วัดลาดทิพยรส,2,2,52.0,2,15,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030084,220232,1060220232,วัดหนองคูน้อย,1,แปลงที่ 1,41.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030086,220234,1060220234,บ้านราษฎร์เจริญ,1,1,3.0,3,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030087,220253,1060220253,วัดทุ่งทะเลทราย,1,1,20.0,2,5,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030088,220254,1060220254,บ้านโคกกร่าง,1,1,18.0,0,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030089,220203,1060220203,บ้านเขาปูน,1,1,20.0,2,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030089,220203,1060220203,บ้านเขาปูน,2,2,93.0,2,3,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030090,220204,1060220204,บ้านหนองตาราม,1,1,60.0,1,19,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030091,220205,1060220205,บ้านหนองไม้แดง,1,1,50.0,1,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030092,220206,1060220206,บ้านหนองปืนแตก,1,1,88.0,0,16,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,1,1,37.0,2,9,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,2,2,8.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030093,220211,1060220211,ม่วงน้อยประชาสามัคคี,3,3,8.0,0,12,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030094,220199,1060220199,วัดหนองโพ(นิวาสานุสรณ์),1,1,0.0,0,12,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030095,220200,1060220200,วัดวาปีรัตนาราม,1,1,39.0,1,6,ที่ธรณีสงฆ์
60030000,สพป.นครสวรรค์ เขต 3,60030096,220201,1060220201,บ้านหนองเต็งรัง,1,1,0.0,2,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030097,220202,1060220202,วัดห้วยดุก,1,1,24.0,0,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030098,220240,1060220240,วัดหนองหม้อ,1,1,29.0,3,2,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030099,220241,1060220241,บ้านหนองแอก,1,1,0.0,0,3,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030100,220242,1060220242,บ้านหนองสีซอ,1,1,0.0,2,1,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030100,220242,1060220242,บ้านหนองสีซอ,2,2,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030101,220257,1060220257,บ้านห้วยหอม,1,1,0.0,0,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030102,220258,1060220258,บ้านโคกเจริญ,1,1,70.0,2,7,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030103,220259,1060220259,บ้านหนองบัวทอง,1,1,0.0,0,6,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030104,220260,1060220260,บ้านหนองบัวตากลาน,1,ที่ราชพัสดุ,0.0,0,5,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030105,220261,1060220261,บ้านลาดตะกุด(สูงทองกาญจนาประชานุสรณ์),1,1,1.0,3,8,ที่ดินได้รับบริจาคหรือให้ใช้
60030000,สพป.นครสวรรค์ เขต 3,60030106,220262,1060220262,วัดเขาดุม,1,ที่ราชพัสดุ,0.0,0,6,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030107,220207,1060220207,ชุมชนบ้านหัวหวาย,1,1,80.0,3,8,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030108,220208,1060220208,บ้านหนองลาด(ราษฎร์ประสิทธิ์ฯ),1,1,0.0,0,10,ที่ราชพัสดุ
60030000,สพป.นครสวรรค์ เขต 3,60030110,220210,1060220210,บ้านสายน้ำทิพย์,1,1,36.0,0,8,ที่ราชพัสดุ
